iter,view_total,view_num,spin_total,spin_num,time,memory
10,75,75,25,14,1716722269506,139559296
10,75,75,25,15,1716722269506,139559296
10,75,75,25,16,1716722269506,139559296
10,75,75,25,17,1716722269506,139559296
10,75,75,25,18,1716722269506,139559296
10,75,75,25,19,1716722269506,139559296
10,75,75,25,20,1716722269506,139559296
10,75,75,25,21,1716722269506,139559296
10,75,75,25,22,1716722269506,139559296
10,75,75,25,23,1716722269506,139559296
10,75,75,25,24,1716722269506,139559296
10,75,75,50,0,1716722275237,270284304
10,75,75,50,1,1716722275237,270284304
10,75,75,50,2,1716722275237,270284304
10,75,75,50,3,1716722275237,270284304
10,75,75,50,4,1716722275237,270284304
10,75,75,50,5,1716722275237,270284304
10,75,75,50,6,1716722275237,270284304
10,75,75,50,7,1716722275237,270284304
10,75,75,50,8,1716722275237,270284304
10,75,75,50,9,1716722275237,270284304
10,75,75,50,10,1716722275237,270284304
10,75,75,50,11,1716722275237,270284304
10,75,75,50,12,1716722275237,270284304
10,75,75,50,13,1716722275237,270284304
10,75,75,50,14,1716722275237,270284304
10,75,75,50,15,1716722275237,270284304
10,75,75,50,16,1716722275237,270284304
10,75,75,50,17,1716722275237,270284304
10,75,75,50,18,1716722275237,270284304
10,75,75,50,19,1716722275237,270284304
10,75,75,50,20,1716722275237,270284304
10,75,75,50,21,1716722275237,270284304
10,75,75,50,22,1716722275237,270284304
10,75,75,50,23,1716722275237,270284304
10,75,75,50,24,1716722275237,270284304
10,75,75,50,25,1716722275237,270284304
10,75,75,50,26,1716722275237,270284304
10,75,75,50,27,1716722275237,270284304
10,75,75,50,28,1716722275237,270284304
10,75,75,50,29,1716722275237,270284304
10,75,75,50,30,1716722275237,270284304
10,75,75,50,31,1716722275237,270284304
10,75,75,50,32,1716722275237,270284304
10,75,75,50,33,1716722275237,270284304
10,75,75,50,34,1716722275237,270284304
10,75,75,50,35,1716722275237,270284304
10,75,75,50,36,1716722275237,270284304
10,75,75,50,37,1716722275237,270284304
10,75,75,50,38,1716722275237,270284304
10,75,75,50,39,1716722275237,270284304
10,75,75,50,40,1716722275237,270284304
10,75,75,50,41,1716722275237,270284304
10,75,75,50,42,1716722275237,270284304
10,75,75,50,43,1716722275237,270284304
10,75,75,50,44,1716722275237,270284304
10,75,75,50,45,1716722275237,270284304
10,75,75,50,46,1716722275237,270284304
10,75,75,50,47,1716722275237,270284304
10,75,75,50,48,1716722275237,270284304
10,75,75,50,49,1716722275237,270284304
10,75,75,75,0,1716722281567,274085840
10,75,75,75,1,1716722281567,274085840
10,75,75,75,2,1716722281567,274085840
10,75,75,75,3,1716722281567,274085840
10,75,75,75,4,1716722281567,274085840
10,75,75,75,5,1716722281567,274085840
10,75,75,75,6,1716722281567,274085840
10,75,75,75,7,1716722281567,274085840
10,75,75,75,8,1716722281567,274085840
10,75,75,75,9,1716722281567,274085840
10,75,75,75,10,1716722281567,274085840
10,75,75,75,11,1716722281567,274085840
10,75,75,75,12,1716722281567,274085840
10,75,75,75,13,1716722281567,274085840
10,75,75,75,14,1716722281567,274085840
10,75,75,75,15,1716722281567,274085840
